BIC,adj_mutual_info,adj_rand,algorithm,avg_inertia,clusterer,completeness,homogeneity,k,lower_bound,n,silhouette,time,v_measure,with_labels_mean,with_labels_sd,without_labels_mean,without_labels_sd
59082.8789,0.130455795,0.212349555,svd,,em,0.13057743,0.156790954,2,-5.455619465,3,0.336816239,2.83910218,0.142488603,0.818891321,0.005418922,0.818146979,0.002658795
52648.31719,0.082965481,0.097958661,svd,,em,0.083192896,0.225558174,5,-4.836648843,3,0.323839347,2.884516975,0.121553183,0.814441937,0.005527482,0.817219304,0.006853041
50614.23019,0.065447648,0.037665035,svd,,em,0.065804705,0.260937693,10,-4.60831826,3,0.309436616,3.131200445,0.105103764,0.820369613,0.003675553,0.817776917,0.002462576
49893.26026,0.05783673,0.03233059,svd,,em,0.058328071,0.263915597,15,-4.502011826,3,0.279590993,3.243849468,0.095540668,0.818515188,0.008093203,0.815185764,0.001651179
49841.72022,0.056278449,0.019300024,svd,,em,0.056856354,0.297329603,20,-4.457503752,3,0.287532351,4.179133042,0.095458766,0.8183299,0.008716289,0.819073316,0.004878784
49890.07065,0.051985634,0.018530235,svd,,em,0.05267561,0.293651428,25,-4.422222127,3,0.239442304,2.70449999,0.089327522,0.81870449,0.003140868,0.815369201,0.003405472
50071.11147,0.049863434,0.01296433,svd,,em,0.05065505,0.298368315,30,-4.399086072,3,0.18866,2.913712486,0.08660659,0.812220537,0.003714053,0.816851608,0.00344697
50266.30194,0.047385272,0.007958593,svd,,em,0.048362853,0.310988511,40,-4.337618411,3,0.181997786,3.239930223,0.083707998,0.816107679,0.009588491,0.810369302,0.00646857
50411.11472,0.044252341,0.008142067,svd,,em,0.045426293,0.308006119,50,-4.27137195,3,0.134606317,4.186246615,0.079175399,0.806845742,0.013485414,0.823147597,0.002769161
52164.83707,0.039145453,0.004179837,svd,,em,0.041177148,0.331580481,100,-4.035841107,3,0.144323061,6.188415408,0.073256923,0.801853355,0.005240792,0.808327326,0.013451243
75201.15877,0.13013511,0.212508862,svd,,em,0.130256876,0.156295114,2,-6.940086181,4,0.276282631,3.015331094,0.142092982,0.820925374,0.004238069,0.815923933,0.005480124
67903.37529,0.081917648,0.094052898,svd,,em,0.082146419,0.221657987,5,-6.229265909,4,0.305481621,3.585681187,0.119869294,0.806109426,0.008689404,0.814259119,0.004593445
64137.77792,0.062332994,0.04098116,svd,,em,0.062682791,0.254338526,10,-5.820907453,4,0.244819771,2.85164284,0.100577771,0.819628255,0.003033023,0.820924551,0.003165878
63816.77328,0.057154435,0.013829593,svd,,em,0.057632013,0.268225409,15,-5.731572045,4,0.217345413,3.711564172,0.094878122,0.822221569,0.002131681,0.823333399,0.002753675
61385.99129,0.050819416,0.015060889,svd,,em,0.051409287,0.265007891,20,-5.4468686,4,0.131445998,4.381508435,0.086113319,0.821482063,0.00744462,0.81407599,0.004274966
61644.15653,0.049261875,0.012902984,svd,,em,0.049958867,0.276021712,25,-5.41113223,4,0.150306687,3.693997619,0.084604623,0.817406651,0.006629186,0.810738439,0.005240934
61518.03995,0.048818027,0.012123003,svd,,em,0.049600343,0.29530826,30,-5.339592788,4,0.133150492,3.859424907,0.084934913,0.813331135,0.004988037,0.815368789,0.003488363
60947.47792,0.046474816,0.011362012,svd,,em,0.047459646,0.303434231,40,-5.167248312,4,0.130791968,4.779498921,0.08208112,0.811477121,0.009838328,0.818702534,0.00308947
61605.56531,0.043955545,0.007193204,svd,,em,0.045124597,0.306817183,50,-5.109119368,4,0.12972273,6.089460441,0.078677795,0.801469607,0.029451104,0.819074242,0.003424565
63574.48207,0.038533427,0.003911665,svd,,em,0.040574849,0.325667564,100,-4.694698435,4,0.054678323,9.846427857,0.072159378,0.811662823,0.013573785,0.81000387,0.009090867
92987.67543,0.130116059,0.208535356,svd,,em,0.13023724,0.157029891,2,-8.577346113,5,0.278755145,3.001481232,0.142384126,0.822592144,0.002316844,0.81777599,0.007755193
